id,config|pretrain_id,config|checkpoint,config|n_finetune,config|finetune_dataset,config|finetune_labels,config|r_max,config|num_layers,config|num_features,config|l_max,config|seed,config|beta,config|ema_decay,config|batch_size,result|train|cell_energy_rmse,result|train|scaled_energy_rmse,result|train|per_atom_energy_rmse,result|train|force_rmse,result|val|cell_energy_rmse,result|val|scaled_energy_rmse,result|val|per_atom_energy_rmse,result|val|force_rmse,result|test|cell_energy_rmse,result|test|scaled_energy_rmse,result|test|per_atom_energy_rmse,result|test|force_rmse,result|num_params,result|best_epoch,result|num_epochs,metadata|timing_marks,metadata|timing|training|start,metadata|timing|training|end,metadata|timing|training|duration,metadata|timing|evaluation|start,metadata|timing|evaluation|end,metadata|timing|evaluation|duration
23.07.05-06.23.00-245067,23.06.29-01.26.15-690272,best,400,Si-GAP-18,dft,4.0,4,32,1,42,4,0.99,10,1.7713022962351936,0.1592844238481986,0.022084601336772,0.1385405647774992,1.2093922438477809,0.1423812904529971,0.0261861239135096,0.125938781811764,1.5589735628976942,0.1454002911760158,0.0236955809844395,0.1368509498835627,73784,493,528,"[('start', 1688534580.245197), ('end', 1688542641.162248)]",1688534580.295124,1688542568.16961,7987.874485969543,1688542568.169628,1688542641.162148,72.99252009391785
23.07.05-09.11.53-375865,23.06.28-19.46.50-432517,best,25,Si-GAP-18,dft,4.0,4,32,1,2,4,0.99,10,3.931337397722488,0.3744662207677252,0.0422268822872047,0.2024000992104685,3.7292121545906456,0.404696070387314,0.0984628194883635,0.7992925719467671,4.637250833774692,0.5687701368376519,0.1931631712195034,1.234633811761933,73784,727,727,"[('start', 1688544713.376025), ('end', 1688545063.850418)]",1688544713.431337,1688545023.76299,310.33165287971497,1688545023.763014,1688545063.850353,40.08733892440796
23.07.05-09.17.43-916680,23.06.28-19.46.50-432517,best,50,Si-GAP-18,dft,4.0,4,32,1,2,4,0.99,10,5.533949688448085,0.4871356730280899,0.0519449334107068,0.2721932021211939,4.437368756313274,0.4353565997246546,0.0710024068951137,0.4210576661835405,5.451412254732227,0.5340792217756715,0.0991719039173935,0.6465730526870871,73784,310,310,"[('start', 1688545063.916826), ('end', 1688545281.224047)]",1688545063.968495,1688545238.335389,174.36689400672913,1688545238.335413,1688545281.223991,42.88857793807984
23.07.05-09.21.21-281073,23.06.28-19.46.50-432517,best,100,Si-GAP-18,dft,4.0,4,32,1,2,4,0.99,10,3.973421341971491,0.3446828994734123,0.0432520070392314,0.226955036597191,3.680574458053636,0.3496458353569983,0.0526854751401184,0.2863060131875926,4.284704584178227,0.3865553377906453,0.0613979037921342,0.379396078386692,73784,412,412,"[('start', 1688545281.281204), ('end', 1688545712.538585)]",1688545281.33228,1688545665.589687,384.2574071884155,1688545665.589711,1688545712.53853,46.94881916046143
23.07.05-09.28.32-595215,23.06.28-19.46.50-432517,best,200,Si-GAP-18,dft,4.0,4,32,1,2,4,0.99,10,2.68940112474848,0.2453973541000869,0.0312635811896375,0.1732404095190202,2.14081772711588,0.2304225227323707,0.0363736570421488,0.1551934370933513,2.479936741974996,0.2254761600813082,0.0323332276098234,0.1727348734169486,73784,453,453,"[('start', 1688545712.595341), ('end', 1688546596.16641)]",1688545712.646063,1688546540.095413,827.4493498802185,1688546540.095439,1688546596.166352,56.07091307640076
23.07.05-09.43.16-224716,23.06.28-19.46.50-432517,best,400,Si-GAP-18,dft,4.0,4,32,1,2,4,0.99,10,1.7722396117123804,0.1690710242551814,0.025020800499571,0.143545055975074,1.3832026562699498,0.1686397105211552,0.0295176566714004,0.1266405304371005,1.6089461879963725,0.1581120777785967,0.0262756637681589,0.1426696527432688,73784,381,383,"[('start', 1688546596.22485), ('end', 1688548223.488978)]",1688546596.276518,1688548150.355169,1554.0786509513855,1688548150.355192,1688548223.488913,73.13372111320496
23.07.05-10.10.23-547233,23.06.28-19.46.50-432517,best,800,Si-GAP-18,dft,4.0,4,32,1,2,4,0.99,10,1.4648973582376312,0.1385956353351871,0.0219310880259535,0.1280037955039033,1.1234041817765974,0.1404794828965972,0.0261849700378995,0.1196372769712816,1.2704580021899097,0.1242431244873481,0.0218897233411212,0.1323468341642622,73784,220,220,"[('start', 1688548223.547385), ('end', 1688550393.313019)]",1688548223.601097,1688550286.443726,2062.842628955841,1688550286.443747,1688550393.312926,106.86917901039124
23.07.05-10.46.33-377821,23.06.28-19.46.50-432517,best,1600,Si-GAP-18,dft,4.0,4,32,1,2,4,0.99,10,1.2577374453732235,0.1076789735111885,0.0149745323927742,0.1010404552262427,0.6525950036948843,0.0795300157233836,0.0188157923787217,0.104086450125921,1.0274127207868846,0.0880021967348081,0.013737044359825,0.1078513470632368,73784,173,174,"[('start', 1688550393.37795), ('end', 1688554614.940776)]",1688550393.431077,1688554491.392127,4097.961050033569,1688554491.392147,1688554614.940705,123.54855799674988
23.07.05-11.56.55-006974,23.06.28-22.39.25-814269,best,25,Si-GAP-18,dft,4.0,4,32,1,2,4,0.99,10,4.879505553508297,0.4253193507746888,0.0542815129759069,0.2212834540378708,7.841165141470027,0.8897029571602627,0.1404460308595757,4.692404877047866,7.265327105750392,0.8549259848755345,0.2382539366065522,3.661979187841893,73784,2401,2438,"[('start', 1688554615.007115), ('end', 1688556360.798753)]",1688554615.060596,1688556321.063086,1706.00249004364,1688556321.063107,1688556360.798679,39.73557209968567
23.07.05-12.26.00-859437,23.06.28-22.39.25-814269,best,50,Si-GAP-18,dft,4.0,4,32,1,2,4,0.99,10,3.8553938025080177,0.3389534950475953,0.0390669395028798,0.206210332165625,4.141543235056937,0.4738249577693866,0.0870016153967387,2.682993020375906,4.267139848501727,0.473585496678998,0.126935327755913,2.409374685348721,73784,1794,1816,"[('start', 1688556360.859576), ('end', 1688558233.333493)]",1688556360.910238,1688558190.674174,1829.7639360427856,1688558190.674197,1688558233.33344,42.65924310684204
